,act,ap,awards,comments,country,courseload,decision,essay,ethnicity,extracurriculars,gender,gpa,hooks,ib,income,interview,jobexp,otherschools,rank,sat1,sat2,schooltype,state,strengths,summer,volunteer,weaknesses,whydecision
55,0,"[5, 5, 5, 5, 5, 5]","Intel STS Semifinalist, AIME 3x, USABO Semifinalist, 2nd Place California Math League, AMC12 School Winner 2x, National Merit Scholar, AP Scholar with Distinction, Rennselaer Medalist",,,"AP Statistics, AP Biology, AP Macroeconomics, AP Government, AP Spanish, English 4",A,,asian,"Local youth symphony 1st violinist (4 yrs, assistant concertmaster), private violin teacher (3 yrs), private tutor (3 yrs), school Math Team captain, Science Bowl member",M,4.0,none,0,200000,"Didn't get an alumni interview (odd, because everyone else at my school did) but had an interview with an adcom over the phone 2 weeks ago. Went well, but I was really nervous.",Research intern at Stanford School of Medicine,,0.002,2400,"[800, 800, 800, 800, 780]",Large Public (2200 students),CA,"Solid test scores, great recommendations, overcoming some adversity?","Orchestra camp (4 yrs), biomedical research (1 yr)","NHS, District coordinator for UNICEF Tap Project, School UNICEF Club Treasurer/Secretary, volunteering at local food pantries and homeless shelters",Ethnicity...? On paper my application looks like a cookie-cutter Asian,Our school is rather diverse and our school district is rated one of the worst in the nation. I think it helped that no one has gotten into Harvard for the past 3 yrs.
56,0,0,,,,,,,,,,0,,0,0,,,,0.0,0,0,,,,,,,
57,0,0,,,Sweden,"HL -- English A1, Economics, French, History; SL -- Math, Environmental Systems. Also, class at Stanford Online High School (""Democracy, Freedom, and the Rule of Law)",A,"Common App was about my closest friend and how she changed me, well written and effective, yet lacking as far as essays go (little concrete anecdotal evidence) still -- 9/10",,"Water polo (junior national team, junior and adult premier division player, captain of junior team, ""assistant"" coach for new players, awarded ""Most Valuable Player"" at an international tournament), lots of national+international MUN, incl. university level (also chairperson, ambassador, best delegate, etc), European Youth Parliament international alumnus, school musical, one year I was in my city's Youth Council (channel to politicians), took arabic in the evenings of my junior year",M,0,Athletics? But I didn't apply as a recruit,"[7, 7]",0,"first an alumni interview which was horrible (he didn't ask a single question -- had to force in stuff about myself edgewise), and a second one with admissions officer over skype -- very far from impressive, but at least I didn't make a fool of myself",Dishwasher and waiter during the summers (granted more and more responsibility over time),"Accepted Penn, Waitlisted Yale, Rejected Dartmouth Columbia",0.0,2200,"[800, 700, 700]",Public,,"Successful water polo player, very tangible leadership in Sea Cadets, also, I'm a dual citizen, which means they got all the exotics of an international, but I'm admitted need-blind <span class=""Emoticon Emoticon1""><span>:)</span></span>",Sea Cadet for three straight summers,"tidbits (e.g. proctoring entrance tests, etc), negligible","SAT as well as Subject tests I guess, little administrative leadership (i.e. haven't led any clubs, started any charities, etc)","Water Polo and Sea Cadets, I think, along with an amiable personality portrayed in recs, interview, and essay"
58,0,"[3, 4, 4, 5, 5]","National Merit Commended, AP Scholar with Distinction","I am so excited for the upcoming year and am glad I went with the strategy of only applying to schools I love. It makes every acceptance feel absolutely great, though it does leave one a bit undecided. After some thought though, I'm hoping to join the Penn Class of 2016 if it all works out. I wish all y'all the best!",,"AP Calculus BC, AP English Lit, AP Computer Science A, AP Physics B, AP Biology, French Level III",R,Passable/good?,asian,"Gay-Straight Alliance (President), Speech and Debate (Treasurer), UIL Math/Computer Science, self learning two languages, self learning guitar, work with middle school students/the town under district leadership program",F,4.0,None.,0,0,"It was amazing! Really casual, engaging and interesting conversation that could have lasted for a few hours if my father hadn't arrived to pick me up haha. I left not wanting to leave honestly. Discussed our mutual sentiments towards being surrounded by people with drive, intelligence, documentaries, books, and a bunch of other stuff. We actually gave each other book and documentary recommendations.",None,"Accepted Penn (likely), Tulane (EA), UT Dallas, UPitt. Waitlisted Brown. Rejected Yale.",0.0091407678245,2270,"[780, 680]",Large public school,TX,"Counselor rec, ECs (LGTBQ), female interested in computer science as a major, essays?",See volunteer/community service.,"Medical/dental clinic with a lot of patients who didn't speak English, hospital, tutoring (including some foreign language stuff and English to ESL/immigrant students)","Counselor rec, ECs, female interested in computer science as a major, essays?","Like I said, pretty average amongst those who are above average."
59,0,"[5, 5, 5, 4, 5, 5]",National Merit Semifinalist,,,"AP Computer Science, AP Calculus AB &amp; BC, AP Microeconomics, AP US Government, AP Physics C, Orchestra",R,Good overall,caucasian,Lots of music stuff (section principal in some ensembles),M,4.0,None,0,200000,"Decent, didn't make a fool of myself",None,"Accepted everywhere else: UChicago (EA), USC (Southern Calif.), Tulane (EA), Northeastern (EA), and UGA (EA)",0.0,2350,"[780, 610]",Non-competitive public,,"SAT, grades, course rigor, essays",More music stuff,Minimal,"SAT IIs, breadth of ECs","Someone from my area who's better than me on my instrument was already admitted SCEA. Other than that, who knows."
60,0,"[9, 5, 5, 5, 10, 5, 5]","Two international science fairs (no Intel), gold medal at national science fair, provisionally patented research filed by a hospital, national/international media exposure, top honors in a national biology competition.","Tried too hard to be that kid that was the president of all the clubs, etc in the first two years of high school, but began research in grade 11 and discovered my passion. My entire application was essentially built on my final two years. Realized it's so key to find what you love and just do it - regardless of when you realize or how do you realize it, you'll end up a better person whether you get into your dream school or not.",Canada.,"IB English HL, IB Chemistry HL, IB History HL, IB Physics SL",A,"Worked on them all summer. Have something like 30 drafts of each essay. Best pieces of writing I've ever done. Talked about how I saw the people side of research after meeting the patients that my work impacted, sketchy Chinese takeout food, and the importance of childhood.",asian,"Science research (11-12), a lot of public speaking (10-12), music in a pre-professional wind orchestra (9-12), member of school DECA chapter (9-12).",M,0,None.,"[7, 6, 7, 7, 7, 7]",100000,"Awkward. Interviewer read off questions, texted during the interview, and called three hours before the actual interview to schedule it. He asked me to recite all my scores too. But I mentioned I was accepted early at Yale in this interview, which I suspect led to my likely letter.","Intern at a bank for one summer (after grade 10), research student another summer (after grade 11). Both paid.","Early action acceptance at Yale, likely letter from Harvard, regular decision acceptance at Princeton. Rejected from Stanford (international asking for aid).",0.01,2380,"[800, 800, 800]",Public magnet.,-,"National/international science awards and media coverage, whole application showed passion for the disease I work on (research, public speaking, fundraising). Good objective stats with early self-studied APs.","Each job took up one summer each, worked full-time. Grade 10 summer was spent at Shad Valley. Did nothing in grade 9 summer.","Council for a regional student program for a charity (10-12, Chair in 12), fundraising and awareness for the disease I do research on (raised a few thousand) (11-12).","Only one major leadership position, almost no ECs outside of my passion area, not involved in the school at all.",True passion for research and for the impact science can have on people was able to shine through. That's it.
61,0,0,,,,,A,,,,,0,,0,0,,,,0.0,0,0,,,,,,,
62,34,"[2, 4, 4, 5, 5, 5]",AP Scholar with Distinction........,,,"AP English Literature, Ancient Greek II Honors, AP French Language, Discrete Math/Probability &amp; Statistics, AP Economics, Classical Studies, AP Comp Gov",A,1-10? i'd say 8.9,caucasian,"USA Swimming (2005-present), HS Swimming (all four years), Class Board (9th, 10th as Community Service Chair, 11th as VP, 12th as VP), Board of Directors Athlete Rep for State's swimming governing body, &lt;----same thing but as well for 11 states in Eastern US, Student Council (all four years), State Board of Education student member, town Board of Education student member, Human Rights Coalition (all four years, latter 2 being the VP/CO President), Alzheimer's Association Fundraising organizer",M,3.6,"URM, first generation",0,40000,very good,none,Harvard/Yale/UPENN/Brown/UChiago/Georgetown/GW,0.0,2160,"[530, 700, 760, 710]",public,NY,"EC's, essays, overall how i conveyed myself to them",summer school each summer,"Tutor for local middle school, Alzheimer's Association work","grades, some scores",luck?
63,34,"[5, 4]","Scholastic Art and Writing Portfolio Gold Medal, Siemens AP Scholar, 19th at National Forensics League Nationals in Policy Debate","My face looked like this <span class=""Emoticon Emoticon13""><span>:O</span></span> when I got the acceptance email because I didn't really consider myself as having a high chance at Harvard. But, I think I'm going to end up going there, so I'm pretty excited. PM me if you have any questions!",,Mostly AP,A,I think it was good,asian,"Debate (President), NHS (President), Student Council (School Board representative), Spanish Honor Society (VP)",F,4.0,Underrepresented area? I live in Nebraska.,0,165000,"Wasn't anything really special, but it was alright",Internship at University of Nebraska Medical Center,"Accepted to Dartmouth, University of Chicago, Stanford, Amherst, Pomona, Middlebury, Washington University in St. Louis. Waitlisted at Columbia and Brown. Rejected from UPenn, Yale, Princeton.",0.0,2310,"[800, 710, 780]",Public,Nebraska,"Writing skills, essay, debate experience","Internship, volunteering, Yale Ivy Scholars Program, debate competitions","Chinese teacher, Equality Prep test prep book fundraiser","No huge major awards, freshman and sophomore year of high school weren't anything special. Test scores aren't perfect, but good enough apparently.","I think what pushed me over from the Waitlisted to Accepted pile was my strong essay. Also, I notified the admin committee about my Scholastic Art and Writing award as soon as I got it."
64,0,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",Intel ISEF Finalist,,,"AP Macroeconomics, AP Microeconomics, AP English Language, AP Biology, AP Environmental Science.",A,I talked about my Bulgarian culture and uprising intertwining with the American surroundings as I grew up.,caucasian,"Nanotechnology Research, School Newspaper (Editor-in-Chief), Mathletes Team (Captain), Quizbowl Team (Captain).",M,3.9,Research; eleven 5s on APs.,0,0,Went very well.,,,0.0,2230,"[800, 800]",Public,,,Research Preparatory Program at Brookhaven National Laboratory; Materials Science Research at SUNY Stony Brook.,,,
65,0,0,,,,,A,,,,,0,,0,0,,,,0.0,0,0,,,,,,,
66,32,"[5, 5, 4, 5, 4, 5, 3]",AP Scholar with Distinction,,,5 AP classes,,I just wrote about how Madonna inspired me to run for class president and win even though I am gay,caucasian,,M,3.93,None? I am gay but I don't think that is a hook.,0,0,N/A,Tutoring,"Accepted so far at Northeastern U, UConn, U of M. Waiting on several others.",0.03,0,"[720, 660]",Gargantuan public school,MN,I have an extremely energetic go-get-em personality. Had depth of accomplishments in several things.,"Went to live with friends in France for a total of 2 months over high school, MN Boys' State",A cat rescue...nothing else that I put on my app than that.,No hooks.,I have a crazy personality and that is definitely reflected in my essay...
67,0,0,Scholarship from the Robert Bosch Stiftung to pursue a degree in Engineering at the University of Heidelberg (Got this when I was 16),,Portugal,"History, Phys Ed, Philosophy, Maths, Portuguese, German, French, Biology, Physics, Chemistry, English, Art/Painting,Drawing &amp; History of Art",A,"Excellent, I guess.",caucasian,,M,4.0,"Languages (I speak 7 languages at native level), Bicultural background - Portuguese family &amp; German education...",0,0,Great,"None...Well, I do have some internships in my resume, but I've never had a job.",,0.0,2350,"[800, 800]","Private, although controlled and partially funded by the German Federal Gov.",,"Leadership Skills, keen to learn, very inquisitive, languages, bicultural background, academic accomplishments, extremely ambitious","Tons of traveling, reading, internships etc.",Monitor at local Catholic Youth Groups/ Work at Homeless Assistance at Local Parrish,"Don't have the major awards, that most countries give out...Not a true virtuoso when it comes to music <span class=""Emoticon Emoticon10""><span>:P</span></span>","Essays, Interview, different academic background, scores (although they aren't the most important factor), languages..."
68,0,"[5, 5, 5, 5, 5, 5]","National Merit, QB Finalist, AP Scholar with distinction.","Congratulations to everyone for making it through this process, and to the amazing schools you have gotten into. If you didnt get in to your top school, dont beat yourself up over it. As everyone else will tell you, this process can be very unpredictable and those who get in do not always know why. You will succeed anywhere you go if you take advantage of all the opportunities provided. To those who will be applying in the future: dont obsess over one school and dont stress out about this entire process more than you have to (I did a bit too much). Work hard on your applications, dont leave them to the last minute and once those applications are out of your hands, let the chips fall where they may.",,Slightly less rigorous than Junior year. Still taking APs / College level classes.,A,I spent a lot of time writing them and perfecting them to the best of my ability. I think they were a very good reflection of me and were well written.,caucasian,"Math Club (president), Science club (president), Quiz Bowl (president), Local science competitions and some awards in each,  research at a university, summer research fellowship, sports for three years, foreign language honor societies, NHS.",F,4.0,"Not exactly hook by definition, but woman in science may have helped in some schools.",0,50000,Very good!,None.,"Accepted: Harvard, Yale (likely), Dartmouth (L), Columbia, UPenn (L), Cornell (L) , Northeastern.  Rejected: Stanford  Waitlisted: MIT, Princeton",0.0025,2260,"[760, 770, 750]",Public,NJ,"Schedule, APs, focused extracurriculars, essays.","Research Fellowship during Junior year, travel the rest of the summers.","Recycling community service leader, 4 years.",No outstanding national awards.,I feel very fortunate overall. I think being an immigrant and a QB finalist really helped me standout.
69,0,"[5, 5, 5, 5, 5, 5]","Siemens Regional Finalist, Siemens Semifinalist, Intel STS Semifinalist, NMF",,,"Multivariable calc/differential equations, AP Eng. Lit, AP Biology, AP Macroecon/Govt Honors",A,"Commonapp: pet death, but I didn't take the overdone ""Life is short"" theme. Supplement: Experience at a lab meeting when I said something I thought was true (I read it in a textbook..) but professor said that wasn't necessarily true, because no one can prove it.",asian,"Journalism (editor-in-chief), varsity tennis (captain 2 years, #2 singles), tournament tennis (ranked top 20 in Norcal for Boy's 16s), research, speech and debate, piano (CM Panel Finalist with honors),",M,4.0,,0,0,"The guy thought I was a guaranteed admit. <span class=""Emoticon Emoticon10""><span>:P</span></span>","Paid research internship, tennis coach","Accepted - Stanford, Princeton, MIT, Duke, JHU BME, UCs. Rejected - Yale.",0.0,2400,"[800, 800, 800]",Public,CA,"research, essays, test scores, grades","CTY, tennis tournaments, Garcia MRSEC research, SIMR research","Piano accompanist for a local choir, random things here and there",leadership,"It's the whole package, I don't think there's any specific reason to pinpoint."
70,34,"[5, 5, 5, 5]","National Merit Finalist, AP Scholar with Honor",,,5 APs and band,A,Good! My best one was one about how I was motivated to join Ambassadors after having a less than ideal middle school experience.,african,"Marching band and concert band (Band Staff senior year), Track and field, Upper Room (like Young Life but student-run. Current Vice President), Ambassadors (selective club that helps new transfer students), Spanish Club",F,3.8,URM,0,0,Good! I didn't think it was amazing but the interviewer liked me.,none,"UW-Madison, UIUC, William and Mary, Tufts, Yale, Brown, Penn (all accepted. I was REALLY fortunate)",0.1,0,"[800, 790, 790]",Large public,IL,"My essays (both were about turning a hard thing in my life into something that helps people now), my test scores, and the National Merit Finalist status","Club swimming every summer except sophomore year, and mission trips the summer of my freshman and junior years.","Volunteered at a public library and a thrift store, and taught kids at church.",My EC's--not that much leadership,God and my essay.
71,0,0,,"I sent in a letter of interest talking about my passion for economics and medicine, and how I want to change the healthcare industry. I can send you if you want to see it. Also sent a list of updates. My counselor sent an email on my behalf and got a response the next day (I suspect that's a good thing?). Keeping my fingers crossed. Otherwise, I'll be off to UW-Madison where I'll be entering as a Junior. I have 91 credits locked in, so I'd technically be a senior... But you have to take a minimum of 60 credits AT madison to graduate so I guess I'd be a junior...",,,W,"one about how I love learning and how when I was young, I once sat on an egg like Thomas Edison. Another about the wheelchair games",asian,"Milwaukee Youth Symphony Orch for seven years, other violin stuff etc.. blah blah, school newspaper executive editor, district bulletin editor key club, executive editor yearbook, photography, head photographer for the national veteran wheelchair games... etc. things of that nature",M,3.98,HA.,0,0,really really really well,,UW-Madison,0.00666666666667,2300,"[750, 790]",public,wisco,class load,Researched at a PhD lab at UW-Madison; summer school; NVWG.. etc.,"Head photographer at the National Veteran Wheelchair Games, Key Club",no significant awards,waitlisted probably because a kid from my school last year is doing exceptionally well at Harvard and he had the exact same resume as I did. Probably no other reason than that...
72,0,"[5, 5, 5, 5, 5, 5, 5, 5, 5]","Chemistry Olympiad Study Camp Participant (Top 20), All-State 1st stand on Violin and local solo competitions first and second place, NMF, Concord International Writing Contest 2nd Place, Siemens Award for AP Winner, Harvard Book Award, National French Exam National Gold Medal 3,4, School Athletics Award, Essay Writing Contest Winner",,USA,,,Brilliant,asian,"V volleyball 1,2,3,4 V Squash 1,2,3,4 V Tennis 1,2,3,4, Science Olympiad 2,3 (Nationals), 4 (Nationals), Yearbook 2,3,4 (Section Editor), Newspaper 1,2,3 (Entertainment Editor),4 (Editor in Chief)",F,4.0,,0,70000,Could never have asked for better.,,"Accepted to Yale, Princeton, Brown, Cornell, Duke, Dartmouth, Columbia, Cornell, UPenn (basically all I applied for)",0.00632911392405,2400,"[800, 800, 800]",Private,CT,"Big Awards, Essays, AP scores",,"Volunteer 10 hrs. a week at a music program, 5 hrs at hospital",Asian.,Big Awards.
73,0,0,"Siemens National Ap Scholar Thingy Award, ISWEEP two years in a row",,USA,"Junior level college economics, multivariable calc, lots of other college classes (his dad is a professor)",W,okay 7/10,caucasian,"Golf, Robotics Volunteer, Tutoring, LOTS MORE",M,3.99,none,0,0,Great!,,,0.002079002079,2320,"[800, 800, 800]",Suburban Public,OR,"Lots of skills and has taken many many many college classes, would have enough credits to be a sophomore.",,Robotics,I can't find any in him,
74,32,"[5, 3]",Attended The Hague International Model United Nations (THIMUN),"The admissions process is crazy and I am so glad it is finally over.  I'm currently going to Fordham, but as long as Harvard financial aid is good, I will be taking a gap year and then going there!",,Hardest my school offers,W,I wrote about a friend who had cancer and how it made me realize I wanted to be a doctor.  Optional Essay:  Wrote about how I overcome challenges in swimming and got better at something that doesn't come easy to me.,caucasian,"Student Senate (President), National Honor Society (Treasurer), Band (Treasurer), Model United Nations, two other district positions appointed by principal and super. Varsity golf, tennis, and swimming",M,3.9,I think Harvard considers me a first generation student.  Both of my parents only went to community college.,0,0,Went well!  My interviewer thought I was a great fit for Harvard and thought I sounded like a professor when we started talking about politics.,I work as a lifeguard and in a kitchen,"UofR, Colgate, CWRU, Fordham, Cornell (HumEc), USC (deans)/rejected: Yale, Dartmouth, Stanford",0.02,2160,"[700, 710]",Rural public school,New York (not the city),"Letters of recommendation, essays, extracurriculars","Youth Court, Swim clubs, freshmen orientation",Volunteer at local cancer hospital.,Test scores,"I think my admissions counselor really liked me.  I sent multiple e-mails and he interviewed me on the phone.  Harvard was just a dream, but now it is going to be a reality!  I really have no idea why Harvard accepted me to the class of 2017, but I am very grateful!!"
75,34,[5],"umm, QuestBridge?","Acceptances are a crap-shoot. Apply to as many as you can and just be honest in your application. Where you end up might not be where you thought, but everything works out for the best.",,"AP Psych, Calc AB, Physics, Language, Spanish",A,"One about band and how I've matured from it, the other about growing up and supporting my family.",caucasian,"Several clubs, but I mostly focused on music: Marching Band (Drum Major), Concert Band (1st Chair), Orchestra, out-of-school bands, organized a large charity event.",M,4.0,"Low-income, gay catholic arab?",0,40000,"Mediocre, we ended up talking about how I was a good fit for Cornell. I did have a second skype interview with my admissions officer two weeks before decisions though.",,"Accepted to Harvard (attending), Dartmouth (likely), Brown, Cornell, Amherst (likely), Wesleyan, Vassar, University of Illinois. Wait-listed from Princeton, Columbia, Duke, and University of Pennsylvania. Rejected from Yale (EA).",0.0,2240,"[800, 770, 770]","Very crappy public, never sends to Ivies",Illinois,"Decent academics, strong personality shown in my essays","Band Camp, Drum Major Camp",,Lack of awards or national recognition,"My unique life situation, and the fact that my teachers knew me very well."
76,0,"[5, 5, 5, 5, 5]",Third Place WV State Math Field Day.,,,"AP Physics C Mechanics, AP Government and Politics, AP Biology, AP English Literature and Composition, AP Calculus BC, Spanish IV, Teacher Assistant.",W,I took the essays very seriously.,caucasian,"Student Government (Senior Class Secretary), Mu Alpha Theta Math Honor Society (President), National Honor Society (Vice President), Math Honorary Club, Science Bowl, Cross Country (3 Varsity letters), Track and Field (1 Varsity letter), MHS Frisbee Club (Founder and President), Community League Basketball (Captain), Community League Frisbee (Captain).",M,3.28,"Class Secretary, underrepresented region.",0,140000,No.,&lt;na&gt;,,0.0,2240,"[800, 790, 750]",Public.,West Virginia.,Application essays.,"Governor's Honors Academy for 3 weeks in 2011, a smattering of one-week camps.","Middle school tutoring, helping in a nursing home.","Music, foreign languages.",Low probability.
77,0,[5],"Nothing incredible. NMSF, AP Nat. Scholar, Cum Laude, some pretty good Latin awards, and state science fair awards",Go Yale!,,"Hon. Latin 5, AP English Lang, AP Physics C, AP Chem, Hon. Multivariable Calc, AP Stats",R,"I thought they were good. No one can really assess their own essays' quality, but I will say that I really liked the picture of me they painted and were a pretty accurate expression of who I am.",indian,"State Organization w/1700 members (Regional governor 11, VP 12) Student Council (president 10 representative 12) Yearbook (co-editor-in-chief 12), two school clubs (president), two sports (one varsity since 10)",M,3.12,No hook!,0,0,Did not get one.,"science research in lab, summer 12","Accepted to Yale SCEA, Rice, OSU. Waiting on Stanford.",0.0,2380,"[800, 800, 790, 780, 730]","Very small, very competitive independent",OH,"test scores, GPA, pretty significant leadership in ECs, very accomplished Latin student, good research w/ very positive LOR","Science research in major lab this year, internship at surgery practice last year",Head of community service for the aforementioned state organization this year,"no hook, no incredible awards, and the strength of the applicant pool",basic probability
78,32,"[9, 5, 4]",None,,,"Super rigorous. ap calc bc, linear algebra, , ap physics, ap us gov't, ap macroecon, scientific research class, and ap lit, ap japanese, college speech, college biotechnology. I know, overloaded myself.",A,,asian,,F,3.93,First Generation,0,30000,,,,0.0037037037037,0,"[790, 760, 750]",Selective magnet,Midwest,My personal story.,,,Senior year first semester grade. Not so great ACT score.,Weakness above.
79,29,"[3, 3, 2]",,,,"AP Physics B, AP Psychology, AP French Language, Honors English, Honors French, Honors Calculus, Honors Economics, Honors Government, Gym",R,"Common App Essay was about my rekindled love for reading which was pretty interesting imo as well as from others who read my essay too so about a 7; I submitted a supplement adding info about myself that wasnt included in my application such as a charity fundraiser I conducted and how it related to how Im a passionate, caring, and independent person.",african,"African American Student Organization (9-12 but officer 10-12), Academic Team (9-12 but officer 10-11), Model UN (10-11), Science Explorers (9-10), NHS, Nutrition Committee",F,3.2,,0,200000,,none,,0.0,2070,"[670, 680]",Public,NY,"Essays, Recs, EC's",not much just volunteered and hanged out with friends and family,"Hospital Volunteer since 10th grade, Volunteer at organization for debt counseling during 10th grade, Library volunteer during 9th grade",GPA and lack of summer activities,"Grades weren't good enough and didnt really have that ""it"" factor"
80,29,"[3, 3, 2]",,,,"AP Physics B, AP Psychology, AP French Language, Honors English, Honors French, Honors Calculus, Honors Economics, Honors Government, Gym",R,"Common App Essay was about my rekindled love for reading which was pretty interesting imo as well as from others who read my essay too so about a 7; I submitted a supplement adding info about myself that wasnt included in my application such as a charity fundraiser I conducted and how it related to how Im a passionate, caring, and independent person.",african,"African American Student Organization (9-12 but officer 10-12), Academic Team (9-12 but officer 10-11), Model UN (10-11), Science Explorers (9-10), NHS, Nutrition Committee",F,3.2,,0,200000,,none,,0.0,2070,"[670, 680]",Public,NY,"Essays, Recs, EC's",not much just volunteered and hanged out with friends and family,"Hospital Volunteer since 10th grade, Volunteer at organization for debt counseling during 10th grade, Library volunteer during 9th grade",GPA and lack of summer activities,"Grades weren't good enough and didnt really have that ""it"" factor"
81,0,"[5, 5, 5]",NMF,,,"AP Bio, AP Physics, English, American Gov/Econ, two choir classes",W,were from the heart,caucasian,"choir (section leader, council treasurer), photography (sell stock photos online), dance, lifting",F,4.0,legacy,0,100000,I thought it went well,"some math tutoring, farmer's market",,0.0333333333333,2350,"[800, 770, 760]","medium sized public, not very competitive",CA,"test scores, GPA, probably recs",not much,ER volunteer,ECs,"who knows? not gonna lie, I have a feeling it was just a legacy nod, but whatever"
82,35,"[5, 5, 5, 4, 3]","State science fair semifinalist, a few creative writing things, and top-15 finish at a national math tournament in a science category","It's just that much easier to go to UNC I suppose <span class=""Emoticon Emoticon1""><span>:)</span></span>",N/A,"IB/AP English Literature HL, IB History of the Americas HL, IB/AP Biology HL, IB Spanish B SL, IB Math Methods SL, ToK, AP Calculus BC, AP Physics B",R,"Main essay wasn't my best piece, but it did a fairly good job in portraying my personality.  6/10.",caucasian,"Mu Alpha Theta (Vice President), Chess Club (founder/vice president), Math Team (shared Captain), and Physics Team (Captain) for the school. I've done Karate in the past, but I quit after I got a black belt as a freshman.",M,3.95,URM,[6],55000,"One of my interviewers never said a word and the other just talked about drinking experiences he had as an undergrad.  It was really awkward, especially since I'd never be interested in Greek life.",,"Accepted: UNC (Carolina Scholarship, Chancellor's Science Scholarship), Vanderbilt, uChicago, Case Western, Cornell (likely)  Rejected: This is my only one",0.0142857142857,0,"[780, 730]",Public--Magnet,Alabama,Scores and my hook,"Homework and being a lazy piece of garbage ಠ_ಠ I've done some summer math team competitions, but that's about it.","400 hours; half in tutoring programs for my school and half in forms of work-study required for IB CAS. I had a really cool business-management thing this year, but other than that most are standard.","Interview, not a super-defining feature",Considering Harvard filled over half its prospective seats through SCEA it's not really surprising.
83,0,"[5, 4]","National Merit, National AP Scholar, Oracle Professional Programmer and Microsoft Certified Professional. Some UIL awards, but nothing major.",,,"Bio AP, Calc BC, Eng. Lit., Japanese AP, Physics C, Psychology AP, Macroeconomics AP, US Government AP, PE",A,"Apparently good enough for Harvard and Stanford. My Common App was over a computer book, and my optional essay was about struggling with my family's racism toward Japanese people.",asian,"A whole bunch. See my chance thread for more details. Generally very focused, yet diverse enough to demonstrate strength in several areas.",M,0.0,My (co-authored) research paper was accepted by a bioinformatics conference and published in a journal.,0,0,"I thought it went pretty well. The interviewer told me I was ""charming,"" and he called my parents a week later telling them that I was a ""perfect fit"" for Harvard.",IT Intern at ST Aerospace,Stanford &amp; UT Austin: the only other places I applied.,0.00568181818182,2400,[800],"Large public, very ethnically diverse.",TX,"""Passion"" and focus. Objective measures.",Research and IT Internship,"Dont really believe in volunteering. I just do the minimum required for NHS. Tutoring, I guess?",Asian (though it didn't hurt much in retrospect). No volunteering. No amazing awards.,"Well, I wrote a haiku for my optional essay in both Japanese and English. Maybe that was it? <span class=""Emoticon Emoticon1""><span>:)</span></span>"
84,35,"[4, 5, 5, 4]","AP Scholar, NMF, All-State/Area/Region Band, Piano Diploma, couple of other piano awards",not expecting much from the waitlist but accepting my place,USA,"AP Calc AB, AP Biology, AP English 4, AP Government, AP Macroeconomics, Band",W,"9, very unique and relevant",asian,"marching band (section leader), concert band (top chair), NHS (committee head), Student Council (treasurer/committee head)",F,4.0,none,0,0,"went okay, nothing special",none,"Rejected - Princeton, Columbia, Yale (deferred SCEA), Brown. Waitlisted - Northwestern, UChicago, UPenn. Accepted - UT (Plan II)",0.0,2270,"[780, 760]",largish public,Texas,"grades, community service, essay","band camp every August, UT music camp, volunteering at a summer camp, traveled to S. Korea summer '12 and taught English","summers volunteering at a camp for children with disabilities, tutoring, various others","not very well-rounded, Asian, probably weak recs","other people had stronger resumes, I am an over-represented minority"
85,0,0,None.,"I'm really happy to be accepted! It all feels like some mad, mad dream.",UK,"A-Levels: Geography, Economics, History",A,About how I participated in the Arab Spring and how I dealt with an identity crisis in being a third culture kid. They were excellent.,caucasian,<li>Extracurriculars (place leadership in,M,4.0,"<li>Hooks (URM, first generation college,",0,0,None.,internship at UN and at a local dive company; journalist at national youth magazine,<li>Where else were you accepted/,0.0,2130,"[710, 790]",Private,,My essays were probably what set me apart - how many of you can say you participated in/experienced a revolution?,Swimming.,head of my school's lower library,Not enough community service or positions of leadership; no major awards.,<li>Why you think you were accepted/
86,35,"[5, 5, 5, 5]","couple of individual state science and math awards (Always in Top 3), UNSCO Top 150 (2012), AP Scholar with Honor, National Merit Finalist, AIME Qualifier X2, National French Exam 11th in Nation, Merck Scholar, Outstanding Statesperson (NJ YAG)","The college admissions process is long and cruel, especially the waiting. But do not let this one moment define you. No matter where you end up going, it is not the name of the college that determines your future; it is how you spend your time there. Follow your dreams and passions. <span class=""Emoticon Emoticon1""><span>:)</span></span>",,"AP Calc BC, AP English Lit, AP Psych, AP Biology, AP French, AP Physics B",R,underdog story and then additional favorite pastime (8/10),asian,"Science League, Math League, Concert Chorus, Varsity Girl's Volleyball, MUN, NJ YAG, ACSL, French Honor Society, NHS",F,4.0,nada,0,0,none...,none,"Accepted Princeton SCEA, MIT, Accepted to Rutgers Pharmacy and Honors Science Program (both on presidential scholarship-full tuition)",0.0,0,"[800, 800, 800, 800, 800, 790, 760]",public,NJ,"Essays, possibly SAT IIs",Volleyball practice (we start in July),"Soup kitchen, Reading program at local library (assist elementary school kids with reading), Cinderella's Closet (provide prom dresses and accessories free of charge to lower income families)-everything was all four years","low SAT for Asian, utter lack of leadership",see weaknesses
